date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:41:33	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Nov%202021%2000:41:33%20GMT	https://pixelzilla.io/robots.txt		(from )
07:41:33	12615/12615	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Nov%202021%2003:05:06%20GMT	https://pixelzilla.io/	D:/du-an/pixelzilla/pixelzilla.io/index.html	(from )
07:41:34	1108507/1108507	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Nov%202021%2000:41:34%20GMT	https://raw.githubusercontent.com/PixelZillaOfficial/images/main/3.png	D:/du-an/pixelzilla/raw.githubusercontent.com/PixelZillaOfficial/images/main/3.png	(from https://pixelzilla.io/)
07:41:34	24513/24513	---MCZ	200	added ('OK')	text/css	etag:W/%2261849f7c-5fc1%22	https://pixelzilla.io/styles/main.css	D:/du-an/pixelzilla/pixelzilla.io/styles/main.css	(from https://pixelzilla.io/)
07:41:34	2193/2193	---MCZ	200	added ('OK')	text/css	etag:W/%2261849f7d-af5%22	https://pixelzilla.io/styles/slider.css	D:/du-an/pixelzilla/pixelzilla.io/styles/slider.css	(from https://pixelzilla.io/)
07:41:34	2751/2751	---MCZ	200	added ('OK')	text/css	etag:W/%2261849f7c-da2%22	https://pixelzilla.io/styles/components.css	D:/du-an/pixelzilla/pixelzilla.io/styles/components.css	(from https://pixelzilla.io/)
07:41:35	10161/10161	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2261849f6d-27b1%22	https://pixelzilla.io/resources/images/favicon.ico	D:/du-an/pixelzilla/pixelzilla.io/resources/images/favicon.ico	(from https://pixelzilla.io/)
07:41:35	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/du-an/pixelzilla/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://pixelzilla.io/)
07:41:35	280/280	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261849f79-118%22	https://pixelzilla.io/resources/images/socials/telegram.svg	D:/du-an/pixelzilla/pixelzilla.io/resources/images/socials/telegram.svg	(from https://pixelzilla.io/)
07:41:35	1628/1628	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261849f79-65c%22	https://pixelzilla.io/resources/images/socials/twitter.svg	D:/du-an/pixelzilla/pixelzilla.io/resources/images/socials/twitter.svg	(from https://pixelzilla.io/)
07:41:36	63052/63052	---M--	200	added ('OK')	image/png	etag:%2261849f6c-f64c%22	https://pixelzilla.io/resources/images/6.png	D:/du-an/pixelzilla/pixelzilla.io/resources/images/6.png	(from https://pixelzilla.io/)
07:41:36	3253/3253	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261849f70-cb5%22	https://pixelzilla.io/resources/images/icons/marketing.svg	D:/du-an/pixelzilla/pixelzilla.io/resources/images/icons/marketing.svg	(from https://pixelzilla.io/)
07:41:36	1562841/1562841	---M--	200	added ('OK')	image/png	etag:%2261849f6e-17d8d9%22	https://pixelzilla.io/resources/images/Certificate_PZILLA.png	D:/du-an/pixelzilla/pixelzilla.io/resources/images/Certificate_PZILLA.png	(from https://pixelzilla.io/)
07:41:36	3024/3024	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261849f6e-bd0%22	https://pixelzilla.io/resources/images/icons/analytics.svg	D:/du-an/pixelzilla/pixelzilla.io/resources/images/icons/analytics.svg	(from https://pixelzilla.io/)
07:41:36	3138/3138	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261849f72-c42%22	https://pixelzilla.io/resources/images/icons/research.svg	D:/du-an/pixelzilla/pixelzilla.io/resources/images/icons/research.svg	(from https://pixelzilla.io/)
07:41:37	2349/2349	---M--	200	added ('OK')	image/png	etag:%2261849f73-92d%22	https://pixelzilla.io/resources/images/persons/dinosaur-0001.png	D:/du-an/pixelzilla/pixelzilla.io/resources/images/persons/dinosaur-0001.png	(from https://pixelzilla.io/)
07:41:37	3214/3214	---M--	200	added ('OK')	image/png	etag:%2261849f73-c8e%22	https://pixelzilla.io/resources/images/persons/dinosaur-0002.png	D:/du-an/pixelzilla/pixelzilla.io/resources/images/persons/dinosaur-0002.png	(from https://pixelzilla.io/)
07:41:37	4568/4568	---M--	200	added ('OK')	image/png	etag:%2261849f73-11d8%22	https://pixelzilla.io/resources/images/persons/dinosaur-0003.png	D:/du-an/pixelzilla/pixelzilla.io/resources/images/persons/dinosaur-0003.png	(from https://pixelzilla.io/)
07:41:37	267173/267173	---M--	200	added ('OK')	image/png	etag:%2261849f6b-413a5%22	https://pixelzilla.io/resources/images/4.png	D:/du-an/pixelzilla/pixelzilla.io/resources/images/4.png	(from https://pixelzilla.io/)
07:41:38	4233/4233	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Nov%202021%2000:41:38%20GMT	https://pixelzilla.io/cdn-cgi/l/email-protection	D:/du-an/pixelzilla/pixelzilla.io/cdn-cgi/l/email-protection.html	(from https://pixelzilla.io/)
07:41:38	959/959	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261849f70-3bf%22	https://pixelzilla.io/resources/images/icons/email.svg	D:/du-an/pixelzilla/pixelzilla.io/resources/images/icons/email.svg	(from https://pixelzilla.io/)
